Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
133104-129368,RB,Jahmyr,Jahmyr Gibbs,Gibbs,20.023529052734375,17,9100,NO@DET,DET,NO,,,,,,RB/FLEX
133104-85701,WR,Ja'Marr,Ja'Marr Chase,Chase,17.006250381469727,16,8900,KC@CIN,CIN,KC,,,,,,WR/FLEX
133104-62239,QB,Josh,Josh Allen,Allen,24.147058486938477,17,8800,BUF@NYJ,BUF,NYJ,,,,,,QB
133104-136855,RB,Bijan,Bijan Robinson,Robinson,17.849998474121094,18,8800,TB@ATL,ATL,TB,,,,,,RB/FLEX
133104-89675,RB,Jonathan,Jonathan Taylor,Taylor,17.52941131591797,17,8700,IND@HOU,IND,HOU,,,,,,RB/FLEX
133104-95800,WR,CeeDee,CeeDee Lamb,Lamb,17.147058486938477,17,8600,DAL@CLE,DAL,CLE,,,,,,WR/FLEX
133104-69042,QB,Jalen,Jalen Hurts,Hurts,20.929412841796875,17,8500,GB@PHI,PHI,GB,,,,,,QB
133104-147833,WR,Puka,Puka Nacua,Nacua,18.933332443237305,15,8500,LAR@DET,LAR,DET,,,,,,WR/FLEX
133104-62297,QB,Lamar,Lamar Jackson,Jackson,22.47058868408203,17,8400,BAL@KC,BAL,KC,,,,,,QB
133104-140079,RB,Kyren,Kyren Williams,Williams,19.816667556762695,12,8400,LAR@DET,LAR,DET,,,,,,RB/FLEX
133104-135741,WR,Justin,Justin Jefferson,Jefferson,18.160001754760742,10,8300,MIN@NYG,MIN,NYG,,,,,,WR/FLEX
133104-112150,RB,Saquon,Saquon Barkley,Barkley,13.214285850524902,14,8300,GB@PHI,PHI,GB,,,,,,RB/FLEX
133104-135402,WR,Amon-Ra,Amon-Ra St. Brown,St. Brown,16.47058868408203,17,8200,LAR@DET,DET,LAR,,,,,,WR/FLEX
133104-148284,RB,Breece,Breece Hall,Hall,17.176469802856445,17,8200,BUF@NYJ,NYJ,BUF,,,,,,RB/FLEX
133104-122244,WR,A.J.,A.J. Brown,Brown,16.200000762939453,17,8100,GB@PHI,PHI,GB,,,,,,WR/FLEX
133104-151020,RB,De'Von,De'Von Achane,Achane,17.18181800842285,11,8100,JAX@MIA,MIA,JAX,,,,,,RB/FLEX
133104-148301,RB,James,James Cook,Cook,14.623529434204102,17,8000,BUF@NYJ,BUF,NYJ,,,,,,RB/FLEX
133104-112144,RB,Christian,Christian McCaffrey,McCaffrey,22.4375,16,8000,NYJ@SF,SF,NYJ,,,,,,RB/FLEX
133104-129470,WR,Tyreek,Tyreek Hill,Hill,20.599998474121094,17,7900,JAX@MIA,MIA,JAX,,,,,,WR/FLEX
133104-152692,WR,Malik,Malik Nabers,Nabers,0.0,0,7900,MIN@NYG,NYG,MIN,,,,,,WR/FLEX
133104-120380,WR,Brandon,Brandon Aiyuk,Aiyuk,15.1875,16,7800,NYJ@SF,SF,NYJ,,,,,,WR/FLEX
133104-86938,WR,Mike,Mike Evans,Evans,15.941176414489746,17,7800,TB@ATL,TB,ATL,,,,,,WR/FLEX
133104-133991,RB,Travis,Travis Etienne Jr.,Etienne Jr.,14.0,17,7700,JAX@MIA,JAX,MIA,,,,,,RB/FLEX
133104-145359,WR,Chris,Chris Olave,Olave,12.5,16,7700,NO@DET,NO,DET,,,,,,WR/FLEX
133104-60475,QB,Patrick,Patrick Mahomes,Mahomes,18.388235092163086,17,7600,BAL@KC,KC,BAL,,,,,,QB
133104-145320,RB,Isiah,Isiah Pacheco,Pacheco,12.357142448425293,14,7600,BAL@KC,KC,BAL,,,,,,RB/FLEX
133104-149284,WR,Garrett,Garrett Wilson,Wilson,14.994117736816406,17,7600,BUF@NYJ,NYJ,BUF,,,,,,WR/FLEX
133104-149008,WR,Drake,Drake London,London,11.253846168518066,13,7500,TB@ATL,ATL,TB,,,,,,WR/FLEX
133104-152690,WR,Marvin,Marvin Harrison Jr.,Harrison Jr.,0.0,0,7500,ARI@BUF,ARI,BUF,,,,,,WR/FLEX
133104-145996,WR,Nico,Nico Collins,Collins,15.647058486938477,17,7400,IND@HOU,HOU,IND,,,,,,WR/FLEX
133104-120481,RB,Josh,Josh Jacobs,Jacobs,11.354838371276855,31,7400,GB@PHI,GB,PHI,,,,,,RB/FLEX
133104-135712,WR,DK,DK Metcalf,Metcalf,13.770588874816895,17,7300,DEN@SEA,SEA,DEN,,,,,,WR/FLEX
133104-143351,RB,Rachaad,Rachaad White,White,13.847058296203613,17,7300,TB@ATL,TB,ATL,,,,,,RB/FLEX
133104-117580,WR,Deebo,Deebo Samuel,Samuel,14.470588684082031,17,7200,NYJ@SF,SF,NYJ,,,,,,WR/FLEX
133104-149293,WR,Chris,Chris Godwin,Godwin,12.588235855102539,17,7200,TB@ATL,TB,ATL,,,,,,WR/FLEX
133104-143370,WR,Jaylen,Jaylen Waddle,Waddle,12.0,14,7100,JAX@MIA,MIA,JAX,,,,,,WR/FLEX
133104-129519,WR,Tee,Tee Higgins,Higgins,11.416666984558105,12,7100,KC@CIN,CIN,KC,,,,,,WR/FLEX
133104-115601,WR,Amari,Amari Cooper,Cooper,13.467741012573242,31,7000,DAL@CLE,CLE,DAL,,,,,,WR/FLEX
133104-136648,WR,Zay,Zay Flowers,Flowers,10.311765670776367,17,7000,BAL@KC,BAL,KC,,,,,,WR/FLEX
133104-152696,WR,Rome,Rome Odunze,Odunze,0.0,0,6900,TEN@CHI,CHI,TEN,,,,,,WR/FLEX
133104-145361,WR,George,George Pickens,Pickens,11.882352828979492,17,6900,PIT@ATL,PIT,ATL,,,,,,WR/FLEX
133104-149297,WR,DeVonta,DeVonta Smith,Smith,12.388235092163086,17,6800,GB@PHI,PHI,GB,,,,,,WR/FLEX
133104-152695,WR,Brian,Brian Thomas Jr.,Thomas Jr.,0.0,0,6800,JAX@MIA,JAX,MIA,,,,,,WR/FLEX
133104-149295,WR,Terry,Terry McLaurin,McLaurin,11.958823204040527,17,6700,WAS@TB,WAS,TB,,,,,,WR/FLEX
133104-152706,WR,Xavier,Xavier Worthy,Worthy,0.0,0,6700,BAL@KC,KC,BAL,,,,,,WR/FLEX
133104-152697,WR,Keon,Keon Coleman,Coleman,0.0,0,6600,ARI@BUF,BUF,ARI,,,,,,WR/FLEX
133104-135824,TE,Sam,Sam LaPorta,LaPorta,12.941176414489746,17,6500,LAR@DET,DET,LAR,,,,,,TE/FLEX
133104-101861,TE,Travis,Travis Kelce,Kelce,12.147058486938477,17,6500,BAL@KC,KC,BAL,,,,,,TE/FLEX
133104-145177,TE,Trey,Trey McBride,McBride,10.235294342041016,17,6400,ARI@BUF,ARI,BUF,,,,,,TE/FLEX
133104-148309,TE,Dalton,Dalton Kincaid,Kincaid,9.70588207244873,17,6300,ARI@BUF,BUF,ARI,,,,,,TE/FLEX
133104-148286,TE,Kyle,Kyle Pitts Sr.,Pitts Sr.,7.411764621734619,17,6200,TB@ATL,ATL,TB,,,,,,TE/FLEX
133104-117498,TE,George,George Kittle,Kittle,11.333333015441895,15,6100,NYJ@SF,SF,NYJ,,,,,,TE/FLEX
