Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
WR,Jaxon Smith-Njigba (43782097),Jaxon Smith-Njigba,43782097,CPT,15900,NE@SEA 09/09/2026 08:20PM ET,SEA,22,
QB,Drake Maye (43782098),Drake Maye,43782098,CPT,15000,NE@SEA 09/09/2026 08:20PM ET,NE,20.9,
WR,A.J. Brown (43782099),A.J. Brown,43782099,CPT,14400,NE@SEA 09/09/2026 08:20PM ET,NE,15.1,
QB,Sam Darnold (43782100),Sam Darnold,43782100,CPT,14100,NE@SEA 09/09/2026 08:20PM ET,SEA,15.6,
RB,Rhamondre Stevenson (43782101),Rhamondre Stevenson,43782101,CPT,13200,NE@SEA 09/09/2026 08:20PM ET,NE,11.7,
RB,Kenneth Walker III (43782102),Kenneth Walker III,43782102,CPT,12900,NE@SEA 09/09/2026 08:20PM ET,SEA,13.4,
WR,Stefon Diggs (43782103),Stefon Diggs,43782103,CPT,12600,NE@SEA 09/09/2026 08:20PM ET,NE,10.9,
RB,Antonio Gibson (43782104),Antonio Gibson,43782104,CPT,11400,NE@SEA 09/09/2026 08:20PM ET,NE,7.8,
WR,Cooper Kupp (43782105),Cooper Kupp,43782105,CPT,11100,NE@SEA 09/09/2026 08:20PM ET,SEA,9.8,
TE,Hunter Henry (43782106),Hunter Henry,43782106,CPT,10800,NE@SEA 09/09/2026 08:20PM ET,NE,9.4,
WR,Marvin Mims Jr. (43782107),Marvin Mims Jr.,43782107,CPT,10500,NE@SEA 09/09/2026 08:20PM ET,SEA,7.5,
TE,Noah Fant (43782108),Noah Fant,43782108,CPT,10200,NE@SEA 09/09/2026 08:20PM ET,SEA,6.8,
K,Jason Myers (43782109),Jason Myers,43782109,CPT,9300,NE@SEA 09/09/2026 08:20PM ET,SEA,8.1,
K,Andy Borregales (43782110),Andy Borregales,43782110,CPT,9000,NE@SEA 09/09/2026 08:20PM ET,NE,0,
DST,Seahawks (43782111),Seahawks,43782111,CPT,8400,NE@SEA 09/09/2026 08:20PM ET,SEA,8.1,
DST,Patriots (43782112),Patriots,43782112,CPT,8100,NE@SEA 09/09/2026 08:20PM ET,NE,7.1,
WR,Demario Douglas (43782113),Demario Douglas,43782113,CPT,7800,NE@SEA 09/09/2026 08:20PM ET,NE,6.7,
TE,Austin Hooper (43782114),Austin Hooper,43782114,CPT,7500,NE@SEA 09/09/2026 08:20PM ET,NE,5.6,
WR,Kayshon Boutte (43782115),Kayshon Boutte,43782115,CPT,7200,NE@SEA 09/09/2026 08:20PM ET,NE,7.1,
WR,Jake Bobo (43782116),Jake Bobo,43782116,CPT,6600,NE@SEA 09/09/2026 08:20PM ET,SEA,4.6,
WR,DeMario Douglas (43782117),DeMario Douglas,43782117,CPT,6300,NE@SEA 09/09/2026 08:20PM ET,NE,0,OUT
TE,AJ Barner (43782118),AJ Barner,43782118,CPT,6000,NE@SEA 09/09/2026 08:20PM ET,SEA,4.4,
WR,Ja'Lynn Polk (43782119),Ja'Lynn Polk,43782119,CPT,5700,NE@SEA 09/09/2026 08:20PM ET,NE,4.3,
WR,Marquez Valdes-Scantling (43782120),Marquez Valdes-Scantling,43782120,CPT,5400,NE@SEA 09/09/2026 08:20PM ET,SEA,4.5,
RB,George Holani (43782121),George Holani,43782121,CPT,5100,NE@SEA 09/09/2026 08:20PM ET,SEA,2.5,
WR,Douglas Coleman III (43782122),Douglas Coleman III,43782122,CPT,4800,NE@SEA 09/09/2026 08:20PM ET,NE,0,IR
RB,TreVeyon Henderson (43782123),TreVeyon Henderson,43782123,CPT,4500,NE@SEA 09/09/2026 08:20PM ET,NE,0,
WR,Tory Horton (43782124),Tory Horton,43782124,CPT,4200,NE@SEA 09/09/2026 08:20PM ET,SEA,0,
TE,Elijah Arroyo (43782125),Elijah Arroyo,43782125,CPT,3900,NE@SEA 09/09/2026 08:20PM ET,SEA,0,
WR,Mack Hollins (43782126),Mack Hollins,43782126,CPT,3600,NE@SEA 09/09/2026 08:20PM ET,NE,2.2,
RB,Will Shipley (43782127),Will Shipley,43782127,CPT,3300,NE@SEA 09/09/2026 08:20PM ET,NE,0,
WR,Kendrick Bourne (43782128),Kendrick Bourne,43782128,CPT,3000,NE@SEA 09/09/2026 08:20PM ET,NE,5.2,
TE,Thomas Fidone II (43782129),Thomas Fidone II,43782129,CPT,2700,NE@SEA 09/09/2026 08:20PM ET,NE,0,
RB,Patrick Taylor Jr. (43782130),Patrick Taylor Jr.,43782130,CPT,2400,NE@SEA 09/09/2026 08:20PM ET,SEA,1.1,
WR,LaJohntay Wester (43782131),LaJohntay Wester,43782131,CPT,2100,NE@SEA 09/09/2026 08:20PM ET,SEA,0,
RB,Sione Vaki (43782132),Sione Vaki,43782132,CPT,1800,NE@SEA 09/09/2026 08:20PM ET,SEA,0,
WR,Efton Chism III (43782133),Efton Chism III,43782133,CPT,1500,NE@SEA 09/09/2026 08:20PM ET,NE,0,
WR,Brady Russell (43782134),Brady Russell,43782134,CPT,1200,NE@SEA 09/09/2026 08:20PM ET,SEA,0,
QB,Joshua Dobbs (43782135),Joshua Dobbs,43782135,CPT,900,NE@SEA 09/09/2026 08:20PM ET,NE,0,
QB,Drew Lock (43782136),Drew Lock,43782136,CPT,600,NE@SEA 09/09/2026 08:20PM ET,SEA,0,
WR,Ricky White III (43782137),Ricky White III,43782137,CPT,300,NE@SEA 09/09/2026 08:20PM ET,SEA,0,
WR,Jaxon Smith-Njigba (43782165),Jaxon Smith-Njigba,43782165,FLEX,10600,NE@SEA 09/09/2026 08:20PM ET,SEA,22,
QB,Drake Maye (43782166),Drake Maye,43782166,FLEX,10000,NE@SEA 09/09/2026 08:20PM ET,NE,20.9,
WR,A.J. Brown (43782167),A.J. Brown,43782167,FLEX,9600,NE@SEA 09/09/2026 08:20PM ET,NE,15.1,
QB,Sam Darnold (43782168),Sam Darnold,43782168,FLEX,9400,NE@SEA 09/09/2026 08:20PM ET,SEA,15.6,
RB,Rhamondre Stevenson (43782169),Rhamondre Stevenson,43782169,FLEX,8800,NE@SEA 09/09/2026 08:20PM ET,NE,11.7,
RB,Kenneth Walker III (43782170),Kenneth Walker III,43782170,FLEX,8600,NE@SEA 09/09/2026 08:20PM ET,SEA,13.4,
WR,Stefon Diggs (43782171),Stefon Diggs,43782171,FLEX,8400,NE@SEA 09/09/2026 08:20PM ET,NE,10.9,
RB,Antonio Gibson (43782172),Antonio Gibson,43782172,FLEX,7600,NE@SEA 09/09/2026 08:20PM ET,NE,7.8,
WR,Cooper Kupp (43782173),Cooper Kupp,43782173,FLEX,7400,NE@SEA 09/09/2026 08:20PM ET,SEA,9.8,
TE,Hunter Henry (43782174),Hunter Henry,43782174,FLEX,7200,NE@SEA 09/09/2026 08:20PM ET,NE,9.4,
WR,Marvin Mims Jr. (43782175),Marvin Mims Jr.,43782175,FLEX,7000,NE@SEA 09/09/2026 08:20PM ET,SEA,7.5,
TE,Noah Fant (43782176),Noah Fant,43782176,FLEX,6800,NE@SEA 09/09/2026 08:20PM ET,SEA,6.8,
K,Jason Myers (43782177),Jason Myers,43782177,FLEX,6200,NE@SEA 09/09/2026 08:20PM ET,SEA,8.1,
K,Andy Borregales (43782178),Andy Borregales,43782178,FLEX,6000,NE@SEA 09/09/2026 08:20PM ET,NE,0,
DST,Seahawks (43782179),Seahawks,43782179,FLEX,5600,NE@SEA 09/09/2026 08:20PM ET,SEA,8.1,
DST,Patriots (43782180),Patriots,43782180,FLEX,5400,NE@SEA 09/09/2026 08:20PM ET,NE,7.1,
WR,Demario Douglas (43782181),Demario Douglas,43782181,FLEX,5200,NE@SEA 09/09/2026 08:20PM ET,NE,6.7,
TE,Austin Hooper (43782182),Austin Hooper,43782182,FLEX,5000,NE@SEA 09/09/2026 08:20PM ET,NE,5.6,
WR,Kayshon Boutte (43782183),Kayshon Boutte,43782183,FLEX,4800,NE@SEA 09/09/2026 08:20PM ET,NE,7.1,
WR,Jake Bobo (43782184),Jake Bobo,43782184,FLEX,4400,NE@SEA 09/09/2026 08:20PM ET,SEA,4.6,
WR,DeMario Douglas (43782185),DeMario Douglas,43782185,FLEX,4200,NE@SEA 09/09/2026 08:20PM ET,NE,0,OUT
TE,AJ Barner (43782186),AJ Barner,43782186,FLEX,4000,NE@SEA 09/09/2026 08:20PM ET,SEA,4.4,
WR,Ja'Lynn Polk (43782187),Ja'Lynn Polk,43782187,FLEX,3800,NE@SEA 09/09/2026 08:20PM ET,NE,4.3,
WR,Marquez Valdes-Scantling (43782188),Marquez Valdes-Scantling,43782188,FLEX,3600,NE@SEA 09/09/2026 08:20PM ET,SEA,4.5,
RB,George Holani (43782189),George Holani,43782189,FLEX,3400,NE@SEA 09/09/2026 08:20PM ET,SEA,2.5,
WR,Douglas Coleman III (43782190),Douglas Coleman III,43782190,FLEX,3200,NE@SEA 09/09/2026 08:20PM ET,NE,0,IR
RB,TreVeyon Henderson (43782191),TreVeyon Henderson,43782191,FLEX,3000,NE@SEA 09/09/2026 08:20PM ET,NE,0,
WR,Tory Horton (43782192),Tory Horton,43782192,FLEX,2800,NE@SEA 09/09/2026 08:20PM ET,SEA,0,
TE,Elijah Arroyo (43782193),Elijah Arroyo,43782193,FLEX,2600,NE@SEA 09/09/2026 08:20PM ET,SEA,0,
WR,Mack Hollins (43782194),Mack Hollins,43782194,FLEX,2400,NE@SEA 09/09/2026 08:20PM ET,NE,2.2,
RB,Will Shipley (43782195),Will Shipley,43782195,FLEX,2200,NE@SEA 09/09/2026 08:20PM ET,NE,0,
WR,Kendrick Bourne (43782196),Kendrick Bourne,43782196,FLEX,2000,NE@SEA 09/09/2026 08:20PM ET,NE,5.2,
TE,Thomas Fidone II (43782197),Thomas Fidone II,43782197,FLEX,1800,NE@SEA 09/09/2026 08:20PM ET,NE,0,
RB,Patrick Taylor Jr. (43782198),Patrick Taylor Jr.,43782198,FLEX,1600,NE@SEA 09/09/2026 08:20PM ET,SEA,1.1,
WR,LaJohntay Wester (43782199),LaJohntay Wester,43782199,FLEX,1400,NE@SEA 09/09/2026 08:20PM ET,SEA,0,
