Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 15,Unnamed: 16,Roster Position
133105-129458,WR,Jaxon,Jaxon Smith-Njigba,Smith-Njigba,18.53999938964844,20,13000,19500,NE@SEA,SEA,NE,,,,,,MVP - 1.5X Points/AnyFLEX
133105-152316,QB,Drake,Drake Maye,Maye,20.54190499441964,21,12400,18600,NE@SEA,NE,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
133105-63589,QB,Sam,Sam Darnold,Darnold,15.335000610351562,20,11600,17400,NE@SEA,SEA,NE,,,,,,MVP - 1.5X Points/AnyFLEX
133105-72846,WR,A.J.,A.J. Brown,Brown,12.518750190734863,16,10800,16200,NE@SEA,NE,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
133105-111540,RB,Rhamondre,Rhamondre Stevenson,Stevenson,11.783333672417534,18,10000,15000,NE@SEA,NE,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
133105-103376,RB,Zach,Zach Charbonnet,Charbonnet,10.376470229204964,17,9600,14400,NE@SEA,SEA,NE,,Knee - acl,,,,MVP - 1.5X Points/AnyFLEX
133105-169381,RB,Jadarian,Jadarian Price,Price,,0,9200,13800,NE@SEA,SEA,NE,,,,,,MVP - 1.5X Points/AnyFLEX
133105-152647,RB,TreVeyon,TreVeyon Henderson,Henderson,9.909524100167411,21,8600,12900,NE@SEA,NE,SEA,Q,Ankle,,,,MVP - 1.5X Points/AnyFLEX
133105-94370,WR,Romeo,Romeo Doubs,Doubs,9.60588253245634,17,8200,12300,NE@SEA,NE,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
133105-94748,QB,Tommy,Tommy DeVito,DeVito,6.739999771118164,2,8000,12000,NE@SEA,NE,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
133105-64051,QB,Drew,Drew Lock,Lock,0.0333333338300387,3,8000,12000,NE@SEA,SEA,NE,,,,,,MVP - 1.5X Points/AnyFLEX
133105-40845,TE,Hunter,Hunter Henry,Henry,8.261904761904763,21,7600,11400,NE@SEA,NE,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
133105-170287,WR,Rashid,Rashid Shaheed,Shaheed,7.02857171921503,21,7200,10800,NE@SEA,SEA,NE,,,,,,MVP - 1.5X Points/AnyFLEX
133105-12550,D,Seattle,Seattle Seahawks,Seahawks,11.4,20,6800,10200,NE@SEA,SEA,NE,,,,,,MVP - 1.5X Points/AnyFLEX
133105-12541,D,New England,New England Patriots,Patriots,8.380952380952381,21,6600,9900,NE@SEA,NE,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
133105-60745,K,Jason,Jason Myers,Myers,11.95,20,6400,9600,NE@SEA,SEA,NE,,,,,,MVP - 1.5X Points/AnyFLEX
133105-152260,K,Andy,Andy Borregales,Borregales,8.0,21,6200,9300,NE@SEA,NE,SEA,,,,,,MVP - 1.5X Points/AnyFLEX
